NF;Série;CD;CIA;Emissão;Cód. do cliente;Cliente;Código do vendedor;Vendedor;Trecho atual;Transportadora;Valor do frete;Peso;Valor da NF;Volume;Embarque;Romaneio;Data de entrega;Data de baixa;Telefone;Previsão de entrega;Limite de entrega;Status
1432507;4;CD01;CD01;29/04/2024 00:00;1037526;SDB COMERCIO DE ALIMENTOS LTDA;722;Fabricio/VD;Trecho 2;JETTA TRANSPORTES E LOGISTICA LTDA - Trecho 2;0;1.456,87;22.871,44;151;29/04/2024 22:32;425875;07/05/2024 15:34;09/05/2024;Baixa Web Jetta Transportes LTDA - Rafaela;06/05/2024 23:30;07/05/2024 23:59;Entregue com ocorrência
1432506;4;CD01;CD01;29/04/2024 00:00;1036378;BISCODOCES COMERCIO VAREJISTA DE DO LTDA;691;Humberts / Junior;Trecho 2;JETTA TRANSPORTES E LOGISTICA LTDA - Trecho 2;0;345,528;4.143,58;30;29/04/2024 22:32;425875;03/05/2024 11:05;08/05/2024;Baixa Web Jetta Transportes LTDA - Rafaela;07/05/2024 23:30;08/05/2024 00:30;Entregue com ocorrência
1432505;4;CD01;CD01;29/04/2024 00:00;1034620;EMPORIO CENTRAL COMERCIO DE ALIMENT LTDA;709;Silva - Robdan Com.;Trecho 2;JETTA TRANSPORTES E LOGISTICA LTDA - Trecho 2;0;42,452;1.964,16;4;29/04/2024 22:32;425875;03/05/2024 11:39;06/05/2024;Baixa Web Jetta Transportes LTDA - Rafaela;07/05/2024 23:30;08/05/2024 00:30;Entregue com ocorrência
1432504;4;CD01;CD01;29/04/2024 00:00;1033242;TEND MEL COMERCIO DE PRODUTOS ALIMENTICIOS EIRELI;215;Silvio - LUNIER;Trecho 2;JETTA TRANSPORTES E LOGISTICA LTDA - Trecho 2;0;242,026;4.637,23;28;29/04/2024 22:32;425875;03/05/2024 11:36;06/05/2024;Baixa Web Jetta Transportes LTDA - Rafaela;07/05/2024 23:30;08/05/2024 00:30;Entregue com ocorrência
1432503;4;CD01;CD01;29/04/2024 00:00;1027401;SAVEGNAGO SUPERMERCADOS LTDA ;693;RICARDO/RIB.PRETO;Trecho 2;JETTA TRANSPORTES E LOGISTICA LTDA - Trecho 2;0;1.151,01;19.641,54;137;29/04/2024 22:32;425875;07/05/2024 15:38;09/05/2024;Baixa Web Jetta Transportes LTDA - Rafaela;07/05/2024 23:30;08/05/2024 00:30;Entregue com ocorrência
1432502;4;CD01;CD01;29/04/2024 00:00;1026282;G E G EMBALAGENS EIRELI EPP ;201;Osvaldo - LUNIER;Trecho 2;JETTA TRANSPORTES E LOGISTICA LTDA - Trecho 2;0;169,73;2.744,36;18;29/04/2024 22:32;425875;03/05/2024 11:03;08/05/2024;Baixa Web Jetta Transportes LTDA - Rafaela;07/05/2024 23:30;08/05/2024 00:30;Entregue com ocorrência
1432501;4;CD01;CD01;29/04/2024 00:00;1026046;SILVANA REGINA DA SILVA ME ;677;Vanderlei/VP-SP;Trecho 2;JETTA TRANSPORTES E LOGISTICA LTDA - Trecho 2;0;179,213;2.699,10;37;29/04/2024 22:32;425875;03/05/2024 15:30;06/05/2024;Baixa Web Jetta Transportes LTDA - Rafaela;07/05/2024 23:30;08/05/2024 00:30;Entregue com ocorrência
1432500;4;CD01;CD01;29/04/2024 00:00;1022218;WWW DISTRIBUIDORA E IMPORTADORA LTD ;716;Mora - Mora Repres.;Trecho 2;JETTA TRANSPORTES E LOGISTICA LTDA - Trecho 2;0;1.645,45;36.926,58;345;29/04/2024 22:32;425875;06/05/2024 11:06;08/05/2024;Baixa Web Jetta Transportes LTDA - Rafaela;06/05/2024 23:30;06/05/2024 23:30;Entregue com ocorrência
1432499;4;CD01;CD01;29/04/2024 00:00;1021833;PIRUETA COMERCIAL LTDA ;205;Dorival - LUNIER;Trecho 2;JETTA TRANSPORTES E LOGISTICA LTDA - Trecho 2;0;256,269;3.107,59;28;29/04/2024 22:32;425875;07/05/2024 15:39;09/05/2024;Baixa Web Jetta Transportes LTDA - Rafaela;06/05/2024 23:30;07/05/2024 23:59;Entregue com ocorrência
1432498;4;CD01;CD01;29/04/2024 00:00;1010412;DICID ITU DOCES LTDA  EPP ;201;Osvaldo - LUNIER;Trecho 2;JETTA TRANSPORTES E LOGISTICA LTDA - Trecho 2;0;167,498;2.680,85;18;29/04/2024 22:32;425875;03/05/2024 11:32;06/05/2024;Baixa Web Jetta Transportes LTDA - Rafaela;07/05/2024 23:30;08/05/2024 00:30;Entregue com ocorrência
1432497;4;CD01;CD01;29/04/2024 00:00;1009299;DOCE FESTA DOCERRANO LTDA ;215;Silvio - LUNIER;Trecho 2;JETTA TRANSPORTES E LOGISTICA LTDA - Trecho 2;0;226,276;3.717,07;24;29/04/2024 22:32;425875;03/05/2024 14:57;06/05/2024;Baixa Web Jetta Transportes LTDA - Rafaela;07/05/2024 23:30;08/05/2024 00:30;Entregue com ocorrência
1432496;4;CD01;CD01;29/04/2024 00:00;1006183;COMERCIAL PEREIRA DA SILVA LTDA ;709;Silva - Robdan Com.;Trecho 2;JETTA TRANSPORTES E LOGISTICA LTDA - Trecho 2;0;165,008;2.964,05;26;29/04/2024 22:32;425875;03/05/2024 15:04;06/05/2024;Baixa Web Jetta Transportes LTDA - Rafaela;07/05/2024 23:30;08/05/2024 00:30;Entregue com ocorrência
1432495;4;CD01;CD01;29/04/2024 00:00;1005542;PAULA ROBERTA TREU PERES ME ;210;José Carlos - LUNIER;Trecho 2;JETTA TRANSPORTES E LOGISTICA LTDA - Trecho 2;0;229,503;3.689,67;42;29/04/2024 22:32;425875;03/05/2024 07:19;10/05/2024;Baixa Web Jetta Transportes LTDA - Rafaela;07/05/2024 23:30;08/05/2024 00:30;Entregue com ocorrência
1432494;4;CD01;CD01;29/04/2024 00:00;1005492;CÉLIO TUMIOTO ITAPIRA ME ;210;José Carlos - LUNIER;Trecho 2;JETTA TRANSPORTES E LOGISTICA LTDA - Trecho 2;0;115,784;1.211,45;10;29/04/2024 22:32;425875;03/05/2024 07:19;10/05/2024;Baixa Web Jetta Transportes LTDA - Rafaela;07/05/2024 23:30;08/05/2024 00:30;Entregue com ocorrência
1432493;4;CD01;CD01;29/04/2024 00:00;1005473;CRISTINA ZUNTINI SANTOS - EPP ;201;Osvaldo - LUNIER;Trecho 2;JETTA TRANSPORTES E LOGISTICA LTDA - Trecho 2;0;47,303;887,97;5;29/04/2024 22:32;425875;03/05/2024 15:29;06/05/2024;Baixa Web Jetta Transportes LTDA - Rafaela;07/05/2024 23:30;08/05/2024 00:30;Entregue com ocorrência
1432492;4;CD01;CD01;29/04/2024 00:00;1004703;SUPERMERCADO MAIRINQUE LTDA ;709;Silva - Robdan Com.;Trecho 2;JETTA TRANSPORTES E LOGISTICA LTDA - Trecho 2;0;64,351;1.128,58;12;29/04/2024 22:32;425875;03/05/2024 15:31;06/05/2024;Baixa Web Jetta Transportes LTDA - Rafaela;07/05/2024 23:30;08/05/2024 00:30;Entregue com ocorrência
1432491;4;CD01;CD01;29/04/2024 00:00;1004404;CONVEM SUPERMERCADOS LTDA ;716;Mora - Mora Repres.;Trecho 2;JETTA TRANSPORTES E LOGISTICA LTDA - Trecho 2;0;97,656;2.029,53;18;29/04/2024 22:32;425875;06/05/2024 11:08;08/05/2024;Baixa Web Jetta Transportes LTDA - Rafaela;06/05/2024 23:30;06/05/2024 23:30;Entregue com ocorrência
1432490;4;CD01;CD01;29/04/2024 00:00;1002590;COMERCIAL PEREIRA DA SILVA LTDA ;709;Silva - Robdan Com.;Trecho 2;JETTA TRANSPORTES E LOGISTICA LTDA - Trecho 2;0;86,286;1.487,61;14;29/04/2024 22:32;425875;03/05/2024 15:06;06/05/2024;Baixa Web Jetta Transportes LTDA - Rafaela;07/05/2024 23:30;08/05/2024 00:30;Entregue com ocorrência
1432489;4;CD01;CD01;29/04/2024 00:00;1001544;DICID VOTORANTIM DOCES LTDA - ME ;201;Osvaldo - LUNIER;Trecho 2;JETTA TRANSPORTES E LOGISTICA LTDA - Trecho 2;0;122,074;1.527,20;12;29/04/2024 22:32;425875;03/05/2024 15:32;06/05/2024;Baixa Web Jetta Transportes LTDA - Rafaela;06/05/2024 23:30;07/05/2024 00:30;Entregue com ocorrência
1432488;4;CD01;CD01;29/04/2024 00:00;1000312;SM. DALALANA DE ITAPIRA LTDA ;717;Humberto - Humbert´s;Trecho 2;JETTA TRANSPORTES E LOGISTICA LTDA - Trecho 2;0;40,713;1.036,70;7;29/04/2024 22:32;425875;03/05/2024 07:17;10/05/2024;Baixa Web Jetta Transportes LTDA - Rafaela;07/05/2024 23:30;08/05/2024 00:30;Entregue com ocorrência
1432487;4;CD01;CD01;29/04/2024 00:00;1037764;SM SUPERMERCADO LTDA;647;Danilo - Robdan Com.;Trecho 2;JETTA TRANSPORTES E LOGISTICA LTDA - Trecho 2;0;4,435;77,06;1;29/04/2024 22:32;425875;03/05/2024 14:57;06/05/2024;Baixa Web Jetta Transportes LTDA - Rafaela;06/05/2024 23:30;07/05/2024 00:30;Entregue com ocorrência
1432486;4;CD01;CD01;29/04/2024 00:00;1022218;WWW DISTRIBUIDORA E IMPORTADORA LTD ;716;Mora - Mora Repres.;Trecho 2;JETTA TRANSPORTES E LOGISTICA LTDA - Trecho 2;0;31,08;563,35;7;29/04/2024 22:32;425875;06/05/2024 11:07;08/05/2024;Baixa Web Jetta Transportes LTDA - Rafaela;06/05/2024 23:30;06/05/2024 23:30;Entregue com ocorrência
1432485;4;CD01;CD01;29/04/2024 00:00;1006183;COMERCIAL PEREIRA DA SILVA LTDA ;709;Silva - Robdan Com.;Trecho 2;JETTA TRANSPORTES E LOGISTICA LTDA - Trecho 2;0;6,367;112,37;1;29/04/2024 22:32;425875;03/05/2024 15:02;06/05/2024;Baixa Web Jetta Transportes LTDA - Rafaela;07/05/2024 23:30;08/05/2024 00:30;Entregue com ocorrência
1432484;4;CD01;CD01;29/04/2024 00:00;1002590;COMERCIAL PEREIRA DA SILVA LTDA ;709;Silva - Robdan Com.;Trecho 2;JETTA TRANSPORTES E LOGISTICA LTDA - Trecho 2;0;3,394;57,07;1;29/04/2024 22:32;425875;03/05/2024 15:05;06/05/2024;Baixa Web Jetta Transportes LTDA - Rafaela;07/05/2024 23:30;08/05/2024 00:30;Entregue com ocorrência
1432483;4;CD01;CD01;29/04/2024 00:00;1000312;SM. DALALANA DE ITAPIRA LTDA ;717;Humberto - Humbert´s;Trecho 2;JETTA TRANSPORTES E LOGISTICA LTDA - Trecho 2;0;8,904;328,2;8;29/04/2024 22:32;425875;03/05/2024 11:04;14/05/2024;Baixa Web Jetta Transportes LTDA - Rafaela;07/05/2024 23:30;08/05/2024 00:30;Entregue com ocorrência
1432210;4;CD01;CD01;27/04/2024 00:00;1048565;SIM EMPREENDIMENTOS COMERCIAIS SUPERMERCADOS LTDA;716;Mora - Mora Repres.;Trecho 2;JETTA TRANSPORTES E LOGISTICA LTDA - Trecho 2;0;94,981;1.795,93;16;27/04/2024 19:56;425874;02/05/2024 12:25;06/05/2024;Baixa Web Jetta Transportes LTDA - Rafaela;07/05/2024 23:30;08/05/2024 00:30;Entregue com ocorrência
1432209;4;CD01;CD01;27/04/2024 00:00;1048150;S V COMERCIO DE PRESENTES LTDA;102;Valdir - Lobo Repres;Trecho 2;JETTA TRANSPORTES E LOGISTICA LTDA - Trecho 2;0;401,193;6.535,20;98;27/04/2024 19:56;425874;02/05/2024 12:38;06/05/2024;Baixa Web Jetta Transportes LTDA - Rafaela;07/05/2024 23:30;08/05/2024 00:30;Entregue com ocorrência
1432208;4;CD01;CD01;27/04/2024 00:00;1047826;NASTARO E NICOLETI SUPERMERCADOS LT DA;705;Gasparini - J. G. Re;Trecho 2;JETTA TRANSPORTES E LOGISTICA LTDA - Trecho 2;0;45,186;778,13;9;27/04/2024 19:56;425874;02/05/2024 11:59;02/05/2024;Baixa Web Jetta Transportes LTDA - Rafaela;07/05/2024 23:30;08/05/2024 00:30;Entregue com ocorrência
1432207;4;CD01;CD01;27/04/2024 00:00;1047067;IRMAOS MUFFATO S A;668;CAMISS / Cátia;Trecho 2;JETTA TRANSPORTES E LOGISTICA LTDA - Trecho 2;0;135,268;2.441,53;35;27/04/2024 19:56;425874;06/05/2024 15:51;06/05/2024;Baixa Web Jetta Transportes LTDA - Rafaela;07/05/2024 23:30;08/05/2024 00:30;Entregue com ocorrência
1432206;4;CD01;CD01;27/04/2024 00:00;1046619;BIAVAN MINIMERCADO LTDA;201;Osvaldo - LUNIER;Trecho 2;JETTA TRANSPORTES E LOGISTICA LTDA - Trecho 2;0;90,407;1.351,41;23;27/04/2024 19:56;425874;02/05/2024 11:23;06/05/2024;Baixa Web Jetta Transportes LTDA - Rafaela;07/05/2024 23:30;08/05/2024 00:30;Entregue com ocorrência
1432205;4;CD01;CD01;27/04/2024 00:00;1044586;47586731 SIDNEI ANTONIO DA SILVA;691;Humberts / Junior;Trecho 2;JETTA TRANSPORTES E LOGISTICA LTDA - Trecho 2;0;18,344;391,04;2;27/04/2024 19:56;425874;02/05/2024 15:41;06/05/2024;Baixa Web Jetta Transportes LTDA - Rafaela;07/05/2024 23:30;08/05/2024 00:30;Entregue com ocorrência
1432204;4;CD01;CD01;27/04/2024 00:00;1043669;D NASTARO SUPERMERCADOS LTDA;705;Gasparini - J. G. Re;Trecho 2;JETTA TRANSPORTES E LOGISTICA LTDA - Trecho 2;0;52,603;1.353,56;12;27/04/2024 19:56;425874;30/04/2024 14:14;02/05/2024;Baixa Web Jetta Transportes LTDA - Rafaela;07/05/2024 23:30;08/05/2024 00:30;Entregue com ocorrência
1432203;4;CD01;CD01;27/04/2024 00:00;1038266;JOSE AUGUSTO DEOTTI JUNIOR EIRELI;691;Humberts / Junior;Trecho 2;JETTA TRANSPORTES E LOGISTICA LTDA - Trecho 2;0;359,141;4.504,82;38;27/04/2024 19:56;425874;02/05/2024 14:46;08/05/2024;Baixa Web Jetta Transportes LTDA - Rafaela;06/05/2024 23:30;06/05/2024 23:30;Entregue com ocorrência
1432202;4;CD01;CD01;27/04/2024 00:00;1038070;J E RUOCCO LTDA;691;Humberts / Junior;Trecho 2;JETTA TRANSPORTES E LOGISTICA LTDA - Trecho 2;0;376,872;4.867,59;44;27/04/2024 19:56;425874;02/05/2024 15:23;06/05/2024;Baixa Web Jetta Transportes LTDA - Rafaela;07/05/2024 23:30;08/05/2024 00:30;Entregue com ocorrência
1432201;4;CD01;CD01;27/04/2024 00:00;1036718;ANTONELLI SUPERMERCADO LTDA;717;Humberto - Humbert´s;Trecho 2;JETTA TRANSPORTES E LOGISTICA LTDA - Trecho 2;0;26,967;510,14;3;27/04/2024 19:56;425874;02/05/2024 12:15;06/05/2024;Baixa Web Jetta Transportes LTDA - Rafaela;07/05/2024 23:30;08/05/2024 00:30;Entregue com ocorrência
1432200;4;CD01;CD01;27/04/2024 00:00;1036520;SUPERMERCADO GUIDOLIN CENTRAL LTDA ;717;Humberto - Humbert´s;Trecho 2;JETTA TRANSPORTES E LOGISTICA LTDA - Trecho 2;0;63,144;1.073,25;12;27/04/2024 19:56;425874;02/05/2024 11:16;06/05/2024;Baixa Web Jetta Transportes LTDA - Rafaela;07/05/2024 23:30;08/05/2024 00:30;Entregue com ocorrência
1432199;4;CD01;CD01;27/04/2024 00:00;1036302;LINGUA DE SOGRA ATACADO DE ALIMENTO EMBALAGENS LTDA;210;José Carlos - LUNIER;Trecho 2;JETTA TRANSPORTES E LOGISTICA LTDA - Trecho 2;0;45,432;998,23;6;27/04/2024 19:56;425874;02/05/2024 12:45;06/05/2024;Baixa Web Jetta Transportes LTDA - Rafaela;06/05/2024 23:30;06/05/2024 23:30;Entregue com ocorrência
1432198;4;CD01;CD01;27/04/2024 00:00;1035101;SIM EMPREENDIMENTOS COMERCIAIS - SUPERMERCADOS LTDA;716;Mora - Mora Repres.;Trecho 2;JETTA TRANSPORTES E LOGISTICA LTDA - Trecho 2;0;61,941;1.361,06;13;27/04/2024 19:56;425874;02/05/2024 15:44;06/05/2024;Baixa Web Jetta Transportes LTDA - Rafaela;06/05/2024 23:30;06/05/2024 23:30;Entregue com ocorrência
1432197;4;CD01;CD01;27/04/2024 00:00;1034117;SUPERMERCADO CORREIA M.A.A.M. PERBO PRODUTOS ALIMENTICIOS VOTORANTIM LT;709;Silva - Robdan Com.;Trecho 2;JETTA TRANSPORTES E LOGISTICA LTDA - Trecho 2;0;181,811;4.127,10;43;27/04/2024 19:56;425874;06/05/2024 12:35;06/05/2024;Baixa Web Jetta Transportes LTDA - Rafaela;06/05/2024 23:30;07/05/2024 00:30;Entregue com ocorrência
1432196;4;CD01;CD01;27/04/2024 00:00;1033413;AUTOZONE BRASIL COMERCIO DE AUTOPEC LTDA;741;DAVI / MD FERREIRA;Trecho 2;JETTA TRANSPORTES E LOGISTICA LTDA - Trecho 2;0;115,818;2.097,40;49;27/04/2024 19:56;425874;02/05/2024 11:10;06/05/2024;Baixa Web Jetta Transportes LTDA - Rafaela;07/05/2024 23:30;08/05/2024 00:30;Entregue com ocorrência
1432195;4;CD01;CD01;27/04/2024 00:00;1032616;REDE DE DISTRIBUICAO ZEFERINO LTDA ;717;Humberto - Humbert´s;Trecho 2;JETTA TRANSPORTES E LOGISTICA LTDA - Trecho 2;0;269,1;3.261,93;30;27/04/2024 19:56;425874;08/05/2024 15:42;09/05/2024;Baixa Web Jetta Transportes LTDA - Rafaela;06/05/2024 23:30;07/05/2024 00:30;Entregue com ocorrência
1432194;4;CD01;CD01;27/04/2024 00:00;1032500;D NASTARO SUPERMERCADOS EIRELI ;705;Gasparini - J. G. Re;Trecho 2;JETTA TRANSPORTES E LOGISTICA LTDA - Trecho 2;0;67,224;1.526,07;15;27/04/2024 19:56;425874;30/04/2024 14:08;02/05/2024;Baixa Web Jetta Transportes LTDA - Rafaela;07/05/2024 23:30;08/05/2024 00:30;Entregue com ocorrência
1432193;4;CD01;CD01;27/04/2024 00:00;1032499;D NASTARO SUPERMERCADOS EIRELI ;705;Gasparini - J. G. Re;Trecho 2;JETTA TRANSPORTES E LOGISTICA LTDA - Trecho 2;0;63,997;1.278,49;10;27/04/2024 19:56;425874;06/05/2024 15:53;06/05/2024;Baixa Web Jetta Transportes LTDA - Rafaela;07/05/2024 23:30;08/05/2024 00:30;Entregue com ocorrência
1432192;4;CD01;CD01;27/04/2024 00:00;1029269;J. V. ORRU DE SOUZA ;691;Humberts / Junior;Trecho 2;JETTA TRANSPORTES E LOGISTICA LTDA - Trecho 2;0;424,713;7.435,04;134;27/04/2024 19:56;425874;30/04/2024 11:23;02/05/2024;Baixa Web Jetta Transportes LTDA - Rafaela;07/05/2024 23:30;08/05/2024 00:30;Entregue com ocorrência
1432191;4;CD01;CD01;27/04/2024 00:00;1029269;J. V. ORRU DE SOUZA ;691;Humberts / Junior;Trecho 2;JETTA TRANSPORTES E LOGISTICA LTDA - Trecho 2;0;368,13;4.804,78;46;27/04/2024 19:56;425874;30/04/2024 11:22;02/05/2024;Baixa Web Jetta Transportes LTDA - Rafaela;07/05/2024 23:30;08/05/2024 00:30;Entregue com ocorrência
1432190;4;CD01;CD01;27/04/2024 00:00;1029269;J. V. ORRU DE SOUZA ;691;Humberts / Junior;Trecho 2;JETTA TRANSPORTES E LOGISTICA LTDA - Trecho 2;0;337,814;6.609,43;40;27/04/2024 19:56;425874;30/04/2024 11:19;02/05/2024;Baixa Web Jetta Transportes LTDA - Rafaela;07/05/2024 23:30;08/05/2024 00:30;Entregue com ocorrência
1432189;4;CD01;CD01;27/04/2024 00:00;1027541;D.R. COMERCIO DE VARIEDADES LTDA ME ;210;José Carlos - LUNIER;Trecho 2;JETTA TRANSPORTES E LOGISTICA LTDA - Trecho 2;0;216,91;2.859,63;23;27/04/2024 19:56;425874;30/04/2024 11:24;02/05/2024;Baixa Web Jetta Transportes LTDA - Rafaela;07/05/2024 23:30;08/05/2024 00:30;Entregue com ocorrência
1432188;4;CD01;CD01;27/04/2024 00:00;1027401;SAVEGNAGO SUPERMERCADOS LTDA ;693;RICARDO/RIB.PRETO;Trecho 2;JETTA TRANSPORTES E LOGISTICA LTDA - Trecho 2;0;613,181;10.438,38;105;27/04/2024 19:56;425874;09/05/2024 07:12;10/05/2024;Baixa Web Jetta Transportes LTDA - Rafaela;07/05/2024 23:30;08/05/2024 00:30;Entregue com ocorrência
1432187;4;CD01;CD01;27/04/2024 00:00;1027401;SAVEGNAGO SUPERMERCADOS LTDA ;693;RICARDO/RIB.PRETO;Trecho 2;JETTA TRANSPORTES E LOGISTICA LTDA - Trecho 2;0;68,984;1.173,05;8;27/04/2024 19:56;425874;09/05/2024 07:11;10/05/2024;Baixa Web Jetta Transportes LTDA - Rafaela;07/05/2024 23:30;08/05/2024 00:30;Entregue com ocorrência
1432186;4;CD01;CD01;27/04/2024 00:00;1027401;SAVEGNAGO SUPERMERCADOS LTDA ;693;RICARDO/RIB.PRETO;Trecho 2;JETTA TRANSPORTES E LOGISTICA LTDA - Trecho 2;0;68,978;1.173,05;8;27/04/2024 19:56;425874;09/05/2024 07:09;10/05/2024;Baixa Web Jetta Transportes LTDA - Rafaela;07/05/2024 23:30;08/05/2024 00:30;Entregue com ocorrência
1432185;4;CD01;CD01;27/04/2024 00:00;1027289;A A DE MELO E CIA LTDA ;706;Bertolino M. F. Camp;Trecho 2;JETTA TRANSPORTES E LOGISTICA LTDA - Trecho 2;0;233,326;4.766,19;48;27/04/2024 19:56;425874;30/04/2024 15:38;06/05/2024;Baixa Web Jetta Transportes LTDA - Rafaela;06/05/2024 23:30;06/05/2024 23:30;Entregue com ocorrência
1432184;4;CD01;CD01;27/04/2024 00:00;1026427;JOSE AUGUSTO DEOTTI JUNIOR EIRELI ;691;Humberts / Junior;Trecho 2;JETTA TRANSPORTES E LOGISTICA LTDA - Trecho 2;0;335,223;4.286,07;35;27/04/2024 19:56;425874;06/05/2024 12:48;06/05/2024;Baixa Web Jetta Transportes LTDA - Rafaela;06/05/2024 23:30;06/05/2024 23:30;Entregue com ocorrência
1432183;4;CD01;CD01;27/04/2024 00:00;1025512;RODRIGUES E CASTRIANI COMERCIO DE A FESTAS LTDA;691;Humberts / Junior;Trecho 2;JETTA TRANSPORTES E LOGISTICA LTDA - Trecho 2;0;265,564;3.198,77;32;27/04/2024 19:56;425874;02/05/2024 11:20;06/05/2024;Baixa Web Jetta Transportes LTDA - Rafaela;07/05/2024 23:30;08/05/2024 00:30;Entregue com ocorrência
1432182;4;CD01;CD01;27/04/2024 00:00;1025105;ALICAMP COMERCIAL ALIMENTICIA LTDA ;691;Humberts / Junior;Trecho 2;JETTA TRANSPORTES E LOGISTICA LTDA - Trecho 2;0;156,838;2.003,31;15;27/04/2024 19:56;425874;02/05/2024 12:17;06/05/2024;Baixa Web Jetta Transportes LTDA - Rafaela;07/05/2024 23:30;08/05/2024 00:30;Entregue com ocorrência
1432181;4;CD01;CD01;27/04/2024 00:00;1022833;HIGA PRODUTOS ALIMENTICIOS LTDA ;201;Osvaldo - LUNIER;Trecho 2;JETTA TRANSPORTES E LOGISTICA LTDA - Trecho 2;0;451,185;6.574,53;35;27/04/2024 19:56;425874;02/05/2024 12:12;06/05/2024;Baixa Web Jetta Transportes LTDA - Rafaela;06/05/2024 23:30;07/05/2024 00:30;Entregue com ocorrência
1432180;4;CD01;CD01;27/04/2024 00:00;1020334;SEM LIMITE DISTRIBUIDORA DE FRIOS E LATICINIOS LTDA;475;Rodolfo / AT;Trecho 2;JETTA TRANSPORTES E LOGISTICA LTDA - Trecho 2;0;205,62;3.483,42;25;27/04/2024 19:56;425874;07/05/2024 07:53;13/05/2024;Baixa Web Jetta Transportes LTDA - Rafaela;06/05/2024 23:30;07/05/2024 23:59;Entregue com ocorrência
1432179;4;CD01;CD01;27/04/2024 00:00;1019555;MARLENE LATARINI GINEZI & CIA LTDA ;717;Humberto - Humbert´s;Trecho 2;JETTA TRANSPORTES E LOGISTICA LTDA - Trecho 2;0;84,084;1.456,05;17;27/04/2024 19:56;425874;03/05/2024 15:24;06/05/2024;Baixa Web Jetta Transportes LTDA - Rafaela;07/05/2024 23:30;08/05/2024 00:30;Entregue com ocorrência
1432178;4;CD01;CD01;27/04/2024 00:00;1018911;SIMONE APARECIDA FRANCHINI EMBALAGE ;210;José Carlos - LUNIER;Trecho 2;JETTA TRANSPORTES E LOGISTICA LTDA - Trecho 2;0;347,423;4.669,96;41;27/04/2024 19:56;425874;03/05/2024 10:57;06/05/2024;Baixa Web Jetta Transportes LTDA - Rafaela;07/05/2024 23:30;08/05/2024 00:30;Entregue com ocorrência
1432177;4;CD01;CD01;27/04/2024 00:00;1016681;CONVEM SUPERMERCADOS DE BRAGANCA LT ;716;Mora - Mora Repres.;Trecho 2;JETTA TRANSPORTES E LOGISTICA LTDA - Trecho 2;0;62,128;1.289,61;13;27/04/2024 19:56;425874;06/05/2024 12:24;06/05/2024;Baixa Web Jetta Transportes LTDA - Rafaela;06/05/2024 23:30;06/05/2024 23:30;Entregue com ocorrência
1432176;4;CD01;CD01;27/04/2024 00:00;1015989;SUPERBERTON COMERCIO DE ALIMENTOS L;717;Humberto - Humbert´s;Trecho 2;JETTA TRANSPORTES E LOGISTICA LTDA - Trecho 2;0;175,408;3.730,99;44;27/04/2024 19:56;425874;30/04/2024 13:02;06/05/2024;Baixa Web Jetta Transportes LTDA - Rafaela;07/05/2024 23:30;08/05/2024 00:30;Entregue com ocorrência
1432175;4;CD01;CD01;27/04/2024 00:00;1013396;A A DE MELO E CIA LT ;706;Bertolino M. F. Camp;Trecho 2;JETTA TRANSPORTES E LOGISTICA LTDA - Trecho 2;0;200,078;3.986,83;41;27/04/2024 19:56;425874;02/05/2024 13:47;02/05/2024;Baixa Web Jetta Transportes LTDA - Rafaela;06/05/2024 23:30;07/05/2024 00:30;Entregue com ocorrência
1432174;4;CD01;CD01;27/04/2024 00:00;1013227;ODAIR ROGERIO DE MORAES ME ;210;José Carlos - LUNIER;Trecho 2;JETTA TRANSPORTES E LOGISTICA LTDA - Trecho 2;0;216,475;3.033,46;26;27/04/2024 19:56;425874;02/05/2024 12:21;06/05/2024;Baixa Web Jetta Transportes LTDA - Rafaela;06/05/2024 23:30;06/05/2024 23:30;Entregue com ocorrência
1432173;4;CD01;CD01;27/04/2024 00:00;1013180;ATACA TUDO COMERCIO VAREJISTA E ATACADISTA LTDA;201;Osvaldo - LUNIER;Trecho 2;JETTA TRANSPORTES E LOGISTICA LTDA - Trecho 2;0;191,001;2.318,94;17;27/04/2024 19:56;425874;02/05/2024 15:35;06/05/2024;Baixa Web Jetta Transportes LTDA - Rafaela;06/05/2024 23:30;06/05/2024 23:30;Entregue com ocorrência
1432172;4;CD01;CD01;27/04/2024 00:00;1011745;SUPERBERTON COMERCIO DE ALIMENTOS L;717;Humberto - Humbert´s;Trecho 2;JETTA TRANSPORTES E LOGISTICA LTDA - Trecho 2;0;353,082;6.966,29;78;27/04/2024 19:56;425874;30/04/2024 13:00;06/05/2024;Baixa Web Jetta Transportes LTDA - Rafaela;07/05/2024 23:30;08/05/2024 00:30;Entregue com ocorrência
1432171;4;CD01;CD01;27/04/2024 00:00;1011474;GUIDOLIN E GUIDOLIN LTDA ;717;Humberto - Humbert´s;Trecho 2;JETTA TRANSPORTES E LOGISTICA LTDA - Trecho 2;0;71,18;1.231,66;8;27/04/2024 19:56;425874;06/05/2024 11:14;06/05/2024;Baixa Web Jetta Transportes LTDA - Rafaela;07/05/2024 23:30;08/05/2024 00:30;Entregue com ocorrência
